MLE: bias <-0.02496169036780054>, rmse <0.13436816243223046>
Horvitz-Thompson: bias <0.006376036134727079>, rmse <0.13098351305696224>
Chao-Shen: bias <0.0195111587435016>, rmse <0.13876355765448656>
Miller-Madow: bias <0.01753830963219946>, rmse <0.14138769528323103>
Jackknife: bias <0.031621640854727094>, rmse <0.14337127349013615>
NSB: bias <0.16873959893674684>, rmse <0.221647633010304>
MLE vs. True: greater <0.9668>, diff <-0.02496169036780054>
Horvitz-Thompson vs. True: greater <0.3128>, diff <0.006376036134727079>
Chao-Shen vs. True: greater <0.0796>, diff <0.0195111587435016>
Miller-Madow vs. True: greater <0.1095>, diff <0.01753830963219946>
Jackknife vs. True: greater <0.0134>, diff <0.031621640854727094>
NSB vs. True: greater <0.0>, diff <0.16873959893674684>
MLE: bias <-0.009503402814127251>, rmse <0.05115319059683286>
Horvitz-Thompson: bias <-0.007494102952800114>, rmse <0.05012532522859722>
Chao-Shen: bias <-0.007013788278061433>, rmse <0.05013031726559066>
Miller-Madow: bias <-0.004603402814127245>, rmse <0.0505682676737166>
Jackknife: bias <-0.004200989298123976>, rmse <0.05036098249815769>
NSB: bias <0.006233502032516785>, rmse <0.05034111038056539>
MLE vs. True: greater <0.9674>, diff <-0.009503402814127251>
Horvitz-Thompson vs. True: greater <0.9318>, diff <-0.007494102952800114>
Chao-Shen vs. True: greater <0.9123>, diff <-0.007013788278061433>
